"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"117327","SN 2022wln","16:10:34.481","+64:49:43.76","SN Ia","0.06","","","ZTF, Fink, ATLAS","ZTF, ATLAS","ZTF","ATLAS, Fink, ZTF","ZTF22abjqztl","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.69","g-ZTF","2022-10-01 03:17:16.800","ZTF_Bot1","","","2022TNSTR2852....1F","2022TNSCR3053....1F","",""
"117326","SN 2022wlm","05:56:46.634","+48:06:20.84","SN Ic-BL","0.05","","","ZTF, Fink, ATLAS","ZTF, ATLAS","ZTF","ATLAS, Fink, ZTF","ZTF22abjafpr","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.31","g-ZTF","2022-09-28 11:29:45.600","ZTF_Bot1","","","2022TNSTR2852....1F","2022TNSCR2991....1S","",""
"117322","SN 2022wli","06:56:41.736","+48:22:00.59","SN I","0.0537","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS, Pan-STARRS, ZTF","ZTF22abieqzx","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P200 - DBSP","1","1","","20.03","g-ZTF","2022-09-25 12:04:19.200","ZTF_Bot1","","","2022TNSTR2852....1F","2022TNSCR3436....1J","",""
"117321","SN 2022wlh","17:16:47.750","+66:30:40.40","SN Ia","0.088","","","ZTF, Fink, ATLAS","ZTF, ATLAS","ZTF","ATLAS, Fink, ZTF","ZTF22abiozoc","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.56","g-ZTF","2022-09-25 03:53:16.800","ZTF_Bot1","","","2022TNSTR2852....1F","2022TNSCR2976....1F","",""
"117311","SN 2022wkx","15:57:59.320","+53:17:51.06","SN Ia","0.063819","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS, ZTF","ZTF22abjrbmf","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.93","g-ZTF","2022-10-01 03:20:09.600","ZTF_Bot1","","","2022TNSTR2852....1F","2022TNSCR2932....1F","",""
"117308","SN 2022wku","08:37:48.206","+44:30:00.46","SN II","0.13415","","","ZTF, ATLAS, YSE, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS, Pan-STARRS, YSE, ZTF","ZTF22abjzweh","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P60 - SEDM","1","1","","18.81","r-ZTF","2022-10-01 10:49:26.400","ZTF_Bot1","","","2022TNSTR2852....1F","2022TNSCR3054....1S","",""
"117302","SN 2022wko","23:52:45.531","+33:19:49.50","SN Ia","0.04","","","Pan-STARRS, ATLAS, YSE","Pan-STARRS, ATLAS","OxQUB","ATLAS, Pan-STARRS, YSE","PS22jpj","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, PS2 - GPC2","LT - SPRAT","1","1","","20.68","w-P1","2022-09-30 07:00:06.336","PS1_Bot1","","","2022TNSTR2849....1C","2022TNSCR3020....1F","",""
"117297","SN 2022wkj","18:16:43.665","+57:59:53.00","SN Ia","0.059","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS, ZTF","ZTF22abivrnq","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.12","g-ZTF","2022-09-28 03:53:16.800","ZTF_Bot1","","","2022TNSTR2852....1F","2022TNSCR2937....1F","",""
"117278","SN 2022wjr","00:39:04.821","-38:51:41.34","SN Ia","0.064","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS22bhmd","ATLAS-CHL - ATLAS-04","ESO-NTT - EFOSC2-NTT","1","1","","18.888","orange-ATLAS","2022-09-26 05:33:46.656","ATLAS_Bot1","","","2022TNSTR2832....1T","2022TNSCR2886....1D","",""
"117274","SN 2022wjn","03:56:38.357","-39:50:06.65","SN Ia","0.08","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS22bhlj","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","19.102","cyan-ATLAS","2022-09-28 00:02:25.152","ATLAS_Bot1","","","2022TNSTR2832....1T","2022TNSCR2886....1D","",""
