"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"162718","SN 2024wpm","17:06:43.280","+43:04:46.88","SN Ia","0.027","","","ZTF, GOTO, ATLAS, GaiaAlerts","ZTF, GOTO, ATLAS, GaiaAlerts","ZTF","ATLAS, GaiaAlerts, GOTO, ZTF","ZTF24abizspq","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, GOTO-N - GOTO-1, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.5439","g-ZTF","2024-09-25 04:27:58.996","Fritz","","","2024TNSTR3719....1S","2024TNSCR3897....1F","",""
"162697","SN 2024wor","08:18:12.390","+49:14:45.96","SN Ia","0.043647","","","ZTF, YSE, ATLAS, Pan-STARRS, GaiaAlerts","ZTF, Pan-STARRS, ATLAS, GaiaAlerts","ZTF","ATLAS, GaiaAlerts, Pan-STARRS, YSE, ZTF","ZTF24abjflpz","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","LT - SPRAT","1","1","","20.1344","r-ZTF","2024-09-24 11:20:11.999","Fritz","","","2024TNSTR3705....1H","2024TNSCR4159....1W","",""
"162695","SN 2024wop","23:49:04.885","+29:28:09.69","SN Ia-91T-like","0.09","","","ZTF, ATLAS, Pan-STARRS, GOTO","ZTF, ATLAS, Pan-STARRS, GOTO","ZTF","ATLAS, GOTO, Pan-STARRS, ZTF","ZTF24abiwsvi","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","20.4849","r-ZTF","2024-09-24 06:16:14.998","Fritz","","","2024TNSTR3704....1S","2024TNSCR4316....1J","",""
"162692","SN 2024wom","04:54:24.550","-04:48:10.19","SN Ia","0.05","","","ZTF, ATLAS, BlackGEM, GaiaAlerts, GOTO","ZTF, ATLAS, BlackGEM, GaiaAlerts, GOTO","TCD","ATLAS, BlackGEM, GaiaAlerts, GOTO, ZTF","ZTF24abizbpc","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, BG2 - BlackGEM-Cam2, BG4 - BlackGEM-Cam4, Gaia - Gaia-photometric, GOTO-N - GOTO-1, GOTO-S - GOTO-3, P48 - ZTF-Cam","LT - SPRAT","1","1","","19.4703","g-ZTF","2024-09-24 11:40:33.003","Fritz","","","2024TNSTR3705....1H","2024TNSCR3774....1T","",""
"162406","SN 2024wdm","16:17:44.750","+36:26:11.69","SN Ia","0.070237","","","ATLAS, ZTF, GOTO, GaiaAlerts","ATLAS, ZTF, GOTO, GaiaAlerts","ZTF","ATLAS, GaiaAlerts, GOTO, ZTF","ATLAS24okn","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, GOTO-N - GOTO-1, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.563","cyan-ATLAS","2024-09-24 05:30:15.840","ATLAS_Bot1","","","2024TNSTR3677....1T","2024TNSCR4028....1C","",""
"162399","SN 2024wdg","04:45:16.797","+08:33:15.49","SN Ia-91bg-like","0.066","","","ZTF","ZTF","ZTF","ZTF","ZTF24abihmoo","P48 - ZTF-Cam","P200 - DBSP","1","1","","19.2916","r-ZTF","2024-09-21 11:27:26.997","Fritz","","","2024TNSTR3690....1S","2024TNSCR4113....1R","",""
"162367","SN 2024wcb","20:24:26.406","+19:40:28.37","SN Ia","0.05","","","GOTO, ATLAS, ALeRCE","GOTO, ATLAS, ZTF","ZTF","ALeRCE, ATLAS, GOTO","GOTO24gfn","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-1, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.05","L-GOTO","2024-09-23 21:40:51.168","GOTO_bot","","","2024TNSTR3683....1U","2024TNSCR4009....1S","",""
"162325","SN 2024wal","02:42:59.468","+11:57:28.15","SN Ia","0.053","","","ZTF, ATLAS, GOTO, Pan-STARRS","ZTF, ATLAS, GOTO, Pan-STARRS","Global SN Project","ATLAS, GOTO, Pan-STARRS, ZTF","ZTF24abisbqg","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS2 - GPC2","FTN - FLOYDS-N","1","1","","18.9925","i-ZTF","2024-09-23 09:27:36.002","Fritz","","","2024TNSTR3667....1S","2024TNSCR3794....1N","",""
"162324","SN 2024wak","05:01:59.500","-13:58:21.07","SN Ia","0.02","","","ZTF, GOTO, ATLAS, GaiaAlerts, Pan-STARRS, MASTER, BlackGEM","ZTF, GOTO, ATLAS, GaiaAlerts, Pan-STARRS, MASTER, BlackGEM","ZTF","ATLAS, BlackGEM, GaiaAlerts, GOTO, MASTER, Pan-STARRS, ZTF","ZTF24abitshb","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, BG4 - BlackGEM-Cam4, Gaia - Gaia-photometric, GOTO-N - GOTO-1, GOTO-S - GOTO-3, ML1 - MeerLICHT-Cam, Other - Other, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.5326","r-ZTF","2024-09-22 12:05:14.997","Fritz","","","2024TNSTR3667....1S","2024TNSCR3710....1S","",""
"162323","SN 2024waj","05:08:00.588","-08:17:49.41","SN Ia","0.126","","","ZTF, GOTO","ZTF, GOTO","ZTF","GOTO, ZTF","ZTF24abitsku","GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam","P200 - DBSP","1","1","","19.5406","g-ZTF","2024-09-18 11:28:12.002","Fritz","","","2024TNSTR3667....1S","2024TNSCR3744....1C","",""
