"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"143406","SN 2023acco","02:14:53.710","+09:25:46.38","SLSN-I","0.0888","","","ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS, GaiaAlerts, ZTF","ZTF23abvokyz","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","NOT - ALFOSC","1","1","","18.94","g-ZTF","2023-12-28 03:01:26.400","ZTF_Bot1","","","2023TNSTR3389....1F","2024TNSCR.685....1Y, 2024TNSCR.685....1Y","",""
"143400","SN 2023acci","05:07:32.078","-19:22:50.42","SN Ia","0.05","WISEA J050732.24-192250.9","","ALeRCE, Pan-STARRS, ATLAS, BlackGEM","ZTF, Pan-STARRS, ATLAS, BlackGEM","ZTF","ALeRCE, ATLAS, BlackGEM, Pan-STARRS","ZTF23abvoynt","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, BG4 - BlackGEM-Cam4, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","19.1651","r-ZTF","2023-12-29 05:04:40.002","ALeRCE","","","2023TNSTR3378....1M","2024TNSCR..81....1J","",""
"143398","SN 2023accg","07:53:11.219","-22:17:40.36","SN Ia","0.024","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS23xzc","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","17.961","orange-ATLAS","2023-12-29 00:54:07.776","ATLAS_Bot1","","","2023TNSTR3379....1T","2024TNSCR...5....1P","",""
"143384","SN 2023acbs","02:44:05.109","+16:40:08.93","SN II","0.0393","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS, Pan-STARRS, ZTF","ZTF23abvnmam","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","Lick-3m - KAST","1","1","","18.37","g-ZTF","2023-12-27 05:29:45.600","ZTF_Bot1","","","2023TNSTR3383....1F","2024TNSCR.436....1W","",""
"143383","SN 2023acbr","02:27:03.193","-09:25:02.40","SN II","0.016","","","ZTF, ATLAS","ZTF, ATLAS","ePESSTO+","ATLAS, ZTF","ZTF23abvommm","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.25","g-ZTF","2023-12-27 04:06:14.400","ZTF_Bot1","","","2023TNSTR3383....1F","2024TNSCR.110....1P","",""
"143382","SN 2023acbq","03:13:18.855","+17:59:27.88","SN Ia","0.035","","","ZTF, Pan-STARRS, ATLAS","ZTF, Pan-STARRS, ATLAS","ePESSTO+","ATLAS, Pan-STARRS, ZTF","ZTF23abvtzdz","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","19.9397","g-ZTF","2023-12-29 03:17:03.001","Fritz","","","2023TNSTR3384....1S","2023TNSCR3390....1B","",""
"143198","SN 2023abuo","16:05:32.133","+14:15:53.01","SN Ia","0.037","","","ZTF, ATLAS, Pan-STARRS, BlackGEM","ZTF, ATLAS, Pan-STARRS, BlackGEM","ZTF","ATLAS, BlackGEM, Pan-STARRS, ZTF","ZTF23abvbqrz","ATLAS-HKO - ATLAS-02, BG2 - BlackGEM-Cam2, BG4 - BlackGEM-Cam4, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","17.44","r-ZTF","2023-12-17 13:29:16.800","ZTF_Bot1","","","2023TNSTR3375....1F","2024TNSCR..15....1F","",""
"143168","SN 2023abtk","02:00:26.571","+21:09:57.32","SN Ia","0.069","","","ATLAS, ZTF","ATLAS, ZTF","LiONS","ATLAS, ZTF","ATLAS23xxt","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","Lijiang-2.4m - YFOSC","1","1","","18.765","orange-ATLAS","2023-12-28 08:53:43.296","ATLAS_Bot1","","","2023TNSTR3371....1T","2024TNSCR..13....1L","",""
"143167","SN 2023abtj","01:27:01.380","+33:57:17.75","SN IIn","0.014","","","ATLAS, Pan-STARRS, MASTER, GaiaAlerts","ATLAS, Pan-STARRS, MASTER, GaiaAlerts","LiONS","ATLAS, GaiaAlerts, MASTER, Pan-STARRS","ATLAS23xxs","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, Other - Other, PS2 - GPC2","Lijiang-2.4m - YFOSC","1","1","","18.108","orange-ATLAS","2023-12-28 07:41:07.872","ATLAS_Bot1","","","2023TNSTR3371....1T","2024TNSCR..13....1L","",""
"143155","SN 2023absx","01:20:08.104","+01:08:13.66","SN Ia","0.054","","","ATLAS, ZTF","ATLAS, ZTF","LiONS","ATLAS, ZTF","ATLAS23xxb","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam","Lijiang-2.4m - YFOSC","1","1","","18.332","orange-ATLAS","2023-12-25 01:14:51.936","ATLAS_Bot1","","","2023TNSTR3365....1T","2024TNSCR..13....1L","",""
"143154","SN 2023absw","00:49:00.552","-49:54:52.94","SN Ia","0.08","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS23xxa","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","18.527","orange-ATLAS","2023-12-26 01:32:26.880","ATLAS_Bot1","","","2023TNSTR3365....1T","2023TNSCR3397....1B","",""
