"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"126731","SN 2023eqx","18:03:25.778","+21:09:13.42","SN II","0.02","","","ZTF, Pan-STARRS","ZTF, Pan-STARRS","ePESSTO+","Pan-STARRS, ZTF","ZTF23aaekebt","P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","18.69","r-ZTF","2023-04-08 11:03:50.400","ZTF_Bot1","","","2023TNSTR.738....1F","2023TNSCR.813....1K","",""
"126726","SN 2023eqs","20:44:15.302","+17:55:29.15","SN Ia","0.045","","","ATLAS, ALeRCE","ATLAS, ZTF","ZTF","ALeRCE, ATLAS","ATLAS23hhf","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","17.959","orange-ATLAS","2023-04-07 14:46:00.192","ATLAS_Bot1","","","2023TNSTR.734....1T","2023TNSCR.817....1F","",""
"126724","SN 2023eqr","15:04:37.178","+10:23:53.11","SN II","0.0336","","","ZTF, Pan-STARRS, ATLAS","ZTF, Pan-STARRS, ATLAS","ePESSTO+","ATLAS, Pan-STARRS, ZTF","ZTF23aaeemik","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","19.2513","g-ZTF","2023-04-08 08:47:32.640","ZTF_CLU_PUBLIC","","","2023TNSTR.739....1D","2023TNSCR.813....1K","",""
"126722","SN 2023eqp","13:08:04.880","+50:11:42.58","SN Ia","0.0332","","","ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF","ATLAS, GaiaAlerts, Pan-STARRS, ZTF","ZTF23aaeaptm","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","18.1727","g-ZTF","2023-04-08 06:43:37.056","ZTF_CLU_PUBLIC","","","2023TNSTR.739....1D","2023TNSCR.767....1F","",""
"126696","SN 2023epp","10:48:32.077","+35:04:38.15","SN Ib","0.065","","","Pan-STARRS, ZTF, ATLAS, Fink","Pan-STARRS, ZTF, ATLAS","ZTF","ATLAS, Fink, Pan-STARRS, ZTF","PS23bfg","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2","Keck1 - LRIS","1","1","","19.5","z-P1","2023-04-07 08:15:17.280","PS1_Bot1","","","2023TNSTR.727....1C","2023TNSCR1236....1Q","",""
"126695","SN 2023epo","09:54:11.630","+34:08:30.46","SN Ia","0.018","","","Pan-STARRS, ZTF, ATLAS, Fink","Pan-STARRS, ZTF, ATLAS","ZTF","ATLAS, Fink, Pan-STARRS, ZTF","PS23bfc","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.79","z-P1","2023-04-07 06:33:58.176","PS1_Bot1","","","2023TNSTR.727....1C","2023TNSCR.748....1F","",""
"126691","SN 2023epk","19:18:49.834","+52:52:03.27","SN Ia","0.046","","","ATLAS, ZTF","ATLAS, ZTF","ZTF","ATLAS, ZTF","ATLAS23hgj","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.106","orange-ATLAS","2023-04-06 14:07:42.816","ATLAS_Bot1","","","2023TNSTR.726....1T","2023TNSCR.830....1F","",""
"126690","SN 2023epj","12:59:53.720","+26:49:09.99","SN Ia","0.0267","","","ATLAS, MASTER, YSE","ATLAS, MASTER, Pan-STARRS","LiONS","ATLAS, MASTER, Pan-STARRS, YSE","ATLAS23hgi","ATLAS-HKO - ATLAS-02, Other - Other, PS1 - GPC1","Lijiang-2.4m - YFOSC","1","1","","17.51","orange-ATLAS","2023-04-07 10:15:36.000","ATLAS_Bot1","","","2023TNSTR.726....1T","2023TNSCR.747....1Z","",""
"126682","SN 2023epb","09:24:38.940","+33:19:20.82","SN Ia","0.05","","","ATLAS, GaiaAlerts, Pan-STARRS","ATLAS, GaiaAlerts, Pan-STARRS","TCD","ATLAS, GaiaAlerts, Pan-STARRS","ATLAS23hbp","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, PS1 - GPC1","LT - SPRAT","1","1","","17.711","orange-ATLAS","2023-04-07 08:01:13.152","ATLAS_Bot1","","","2023TNSTR.726....1T","2023TNSCR.803....1T","",""
"126658","SN 2023eod","04:56:24.219","-46:01:51.42","SN II","0.0451","","","ATLAS","ATLAS","DEBASS","ATLAS","ATLAS23hag","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ANU-2.3m - WiFeS","1","1","","18.605","orange-ATLAS","2023-04-05 18:06:46.944","ATLAS_Bot1","","","2023TNSTR.721....1T","2023TNSCR.861....1M","",""
