"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"172998","SN 2025cdj","11:11:37.661","+02:05:57.41","SN Ia","0.112","","","ZTF, WFST, Pan-STARRS","ZTF, WFST, Pan-STARRS","SCAT","Pan-STARRS, WFST, ZTF","ZTF25aafzfks","P48 - ZTF-Cam, PS1 - GPC1, WFST - WFST-WFC","UH88 - SNIFS","1","1","","19.749","r-ZTF","2025-02-08 07:28:41.998","Fritz","","","2025TNSTR.697....1S","2025TNSCR.877....1S","",""
"172991","SN 2025cdc","12:51:40.860","-18:13:38.40","SN Ia","0.045","","","ZTF, GOTO, Fink","ZTF, GOTO","ZTF","GOTO, ZTF","ZTF25aagbkad","GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.3619","r-ZTF","2025-02-19 11:27:46.998","Fritz","","","2025TNSTR.698....1R","2025TNSCR1080....1S","",""
"172989","SN 2025cdb","09:54:09.383","-29:26:17.52","SN Ia","0.1","","","ATLAS, GOTO","ATLAS, GOTO","SCAT","ATLAS, GOTO","ATLAS25bto","ATLAS-CHL - ATLAS-04, GOTO-S - GOTO-3, GOTO-S - GOTO-4","UH88 - SNIFS","1","1","","19.129","orange-ATLAS","2025-02-20 05:24:59.616","ATLAS_Bot1","","","2025TNSTR.689....1T","2025TNSCR.711....1H","",""
"172982","SN 2025ccu","11:05:38.697","+50:20:53.03","SN Ia","0.06939","","","ATLAS, ALeRCE, GOTO, Pan-STARRS","ATLAS, ZTF, GOTO, Pan-STARRS","SCAT","ATLAS, GOTO, Pan-STARRS, ZTF","ATLAS25bti","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-1, P48 - ZTF-Cam, PS2 - GPC2","UH88 - SNIFS","1","1","","18.765","orange-ATLAS","2025-02-19 11:56:38.688","ATLAS_Bot1","","","2025TNSTR.689....1T","2025TNSCR.711....1H","",""
"172981","SN 2025cct","11:51:27.073","+49:33:56.24","SN Ia","0.08","","","ATLAS, LAST, GOTO, ZTF","ATLAS, LAST, GOTO, ZTF","SCAT","ATLAS, GOTO, LAST, ZTF","ATLAS25bss","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-1, LAST - LAST-Cam, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.36","orange-ATLAS","2025-02-17 11:26:13.056","ATLAS_Bot1","","","2025TNSTR.689....1T","2025TNSCR.711....1H","",""
"172957","SN 2025cbv","15:17:39.916","+41:05:08.15","SN Ia","0.06","2MASX J15174044+4105083","","ALeRCE, ATLAS, GOTO","ZTF, ATLAS, GOTO","YSE","ATLAS, GOTO, ZTF","ZTF25aagbifh","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam","FLWO-1.5m - FAST","1","1","","19.6175","r-ZTF","2025-02-19 11:17:54.001","ALeRCE","","","2025TNSTR.688....1J","2025TNSCR.840....1Y","",""
"172952","SN 2025cbq","19:28:22.239","+56:34:48.15","SN Ia-pec","0.024764","2MASX J19282147+5634562","0.025078","ALeRCE, GOTO, ATLAS, Pan-STARRS","ZTF, GOTO, ATLAS, Pan-STARRS","ZTF","ATLAS, GOTO, Pan-STARRS, ZTF","ZTF25aagbpag","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.2443","r-ZTF","2025-02-19 11:52:52.000","ALeRCE","","","2025TNSTR.688....1J","2025TNSCR.745....1S","",""
"172945","SN 2025cbj","15:59:40.061","+27:06:40.85","SN IIn","0.0675","SDSS J155940.04+270641.1","","ALeRCE, ATLAS, Fink, BlackGEM, YSE, LAST","ZTF, ATLAS, BlackGEM, Pan-STARRS, LAST","ZTF","ATLAS, BlackGEM, LAST, Pan-STARRS, ZTF","ZTF25aagbrpb","ATLAS-HKO - ATLAS-02, BG2 - BlackGEM-Cam2, BG4 - BlackGEM-Cam4, LAST - LAST-Cam, P48 - ZTF-Cam, PS1 - GPC1","LT - SPRAT, P60 - SEDM","1","1","","19.3162","r-ZTF","2025-02-19 12:07:02.004","ALeRCE","","","2025TNSTR.688....1J","2025TNSCR.915....1S, 2025TNSCR1831....1W","",""
"172934","SN 2025cay","17:12:37.674","+01:11:23.31","SN Ia","0.059","","","ZTF, GOTO","ZTF, GOTO","None","GOTO, ZTF","ZTF25aafwfof","GOTO-N - GOTO-1, P48 - ZTF-Cam","NOT - ALFOSC","1","1","","18.8234","r-ZTF","2025-02-19 12:04:16.996","Fritz","","","2025TNSTR.696....1W","2025TNSCR.783....1C","",""
"172933","SN 2025cax","12:40:45.595","-16:40:22.26","SN Ia","0.0638","","","ZTF, ATLAS, Fink, GOTO, Pan-STARRS","ZTF, ATLAS, GOTO, Pan-STARRS","ZTF","ATLAS, GOTO, Pan-STARRS, ZTF","ZTF25aagbdyg","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","18.5178","g-ZTF","2025-02-19 10:33:29.001","Fritz","","","2025TNSTR.696....1W","2025TNSCR.899....1C","",""
