"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"167848","SN 2024adhf","11:30:09.310","-13:44:55.61","SN Ia","0.0225","","","GOTO, ZTF, ATLAS, GaiaAlerts","GOTO, ZTF, ATLAS, GaiaAlerts","None, ZTF, SAAO IO","ATLAS, GaiaAlerts, GOTO, ZTF","GOTO24iqy","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, GOTO-N - GOTO-1, GOTO-S - GOTO-3, P48 - ZTF-Cam","Lesedi - Mookodi, Other - Other, P60 - SEDM","1","1","","14.9","L-GOTO","2024-12-01 06:27:19.872","GOTO_bot","","","2024TNSTR4740....1O","2024TNSCR4775....1B, 2024TNSCR4777....1S, 2024TNSCR4800....1E","",""
"167822","SN 2024adgf","07:53:25.001","+19:47:48.32","SN Ia","0.1","","","ZTF, ATLAS, GOTO","ZTF, ATLAS, GOTO","ZTF","ATLAS, GOTO, ZTF","ZTF24abutwuz","ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-1, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.9525","g-ZTF","2024-11-30 06:42:54.002","Fritz","","","2024TNSTR4743....1S","2024TNSCR5039....1S","",""
"167815","SN 2024adfy","02:11:25.850","+15:57:25.70","SN II","0.026702","","","BlackGEM, ATLAS, ZTF, Pan-STARRS, GOTO","BlackGEM, ATLAS, ZTF, Pan-STARRS, GOTO","ZTF","ATLAS, BlackGEM, GOTO, Pan-STARRS, ZTF","BGEM J021125.84+155725.7","ATLAS-HKO - ATLAS-02, BG3 - BlackGEM-Cam3, BG4 - BlackGEM-Cam4, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.08","BG-q-BlackGem","2024-12-03 01:52:23.000","BlackGEM_Bot1","","","2024TNSTR4737....1S","2024TNSCR4766....1S","",""
"167807","SN 2024adfq","00:53:14.400","+53:59:39.33","SLSN-I","0.2285","","","ZTF, ATLAS, GOTO","ZTF, ATLAS, GOTO","ZTF","ATLAS, GOTO, ZTF","ZTF24abtlppf","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, P48 - ZTF-Cam","LT - SPRAT","1","1","","20.0486","g-ZTF","2024-11-22 06:15:23.996","Fritz","","","2024TNSTR4743....1S","2025TNSCR.279....1W","",""
"167797","SN 2024adfg","00:00:33.406","+22:46:34.52","SN II","0.03","","","ZTF, Pan-STARRS, GOTO, ATLAS","ZTF, Pan-STARRS, GOTO, ATLAS","ZTF","ATLAS, GOTO, Pan-STARRS, ZTF","ZTF24abvbzbd","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-1, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","19.2735","g-ZTF","2024-12-02 06:30:13.000","Fritz","","","2024TNSTR4743....1S","2025TNSCR.489....1S","",""
"167784","SN 2024adet","14:39:15.130","+12:50:50.71","SN Ia","0.063408","SDSS J143914.82+125049.3","0.06341","ALeRCE, GOTO, GaiaAlerts, ATLAS, Pan-STARRS","ZTF, GOTO, GaiaAlerts, ATLAS, Pan-STARRS","ZTF","ALeRCE, ATLAS, GaiaAlerts, GOTO, Pan-STARRS","ZTF24abvgnzs","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","19.1076","r-ZTF","2024-12-02 13:13:27.998","ALeRCE","","","2024TNSTR4717....1M","2024TNSCR4949....1C","",""
"167767","SN 2024adec","12:56:57.027","+77:10:26.82","SN IIb","0.035","WISEA J125659.47+771029.8","","ALeRCE, Pan-STARRS, GOTO, ATLAS","ZTF, Pan-STARRS, GOTO, ATLAS","OxQUB","ALeRCE, ATLAS, GOTO, Pan-STARRS","ZTF24abvevzs","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS1 - GPC1","Gemini-N - GMOS","1","1","","20.0372","g-ZTF","2024-12-02 10:22:30.996","ALeRCE","","","2024TNSTR4717....1M","2024TNSCR4818....1G","",""
"167760","SN 2024addv","14:13:07.934","+31:34:10.01","SN Ia","0.061","","","ATLAS, ALeRCE, GOTO, Pan-STARRS","ATLAS, ZTF, GOTO, Pan-STARRS","ZTF","ALeRCE, ATLAS, GOTO, Pan-STARRS","ATLAS24qyp","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","17.851","cyan-ATLAS","2024-12-02 14:54:49.824","ATLAS_Bot1","","","2024TNSTR4718....1T","2024TNSCR4801....1F","",""
"167758","SN 2024addt","08:07:04.066","+15:22:42.58","SN Ia","0.086","","","ATLAS, ZTF, GOTO, Pan-STARRS","ATLAS, ZTF, GOTO, Pan-STARRS","ZTF","ATLAS, GOTO, Pan-STARRS, ZTF","ATLAS24qyn","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.074","cyan-ATLAS","2024-12-02 12:11:50.208","ATLAS_Bot1","","","2024TNSTR4718....1T","2025TNSCR..40....1C","",""
"167753","SN 2024addo","10:21:42.745","+62:59:42.45","SN Ia","0.076","","","ZTF, ATLAS, Pan-STARRS, GOTO","ZTF, ATLAS, Pan-STARRS, GOTO","ZTF","ATLAS, GOTO, Pan-STARRS, ZTF","ZTF24abuuyen","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-1, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","20.229","g-ZTF","2024-11-30 09:16:06.997","Fritz","","","2024TNSTR4725....1S","2024TNSCR4819....1F","",""
"167738","SN 2024adcz","07:01:55.546","+63:33:29.02","SN Ia","0.038","","","ZTF, ALeRCE, GOTO, Pan-STARRS","ZTF, GOTO, Pan-STARRS","ZTF","ALeRCE, GOTO, Pan-STARRS, ZTF","ZTF19aamqfxq","GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.7087","r-ZTF","2024-12-02 09:25:44.002","Fritz","","","2024TNSTR4727....1R","2024TNSCR4871....1F","",""
"167718","SN 2024adcf","03:28:11.665","-00:11:21.51","SN Ia","0.08511","","","ZTF, YSE","ZTF, Pan-STARRS","None","Pan-STARRS, ZTF","ZTF24abuddym","P48 - ZTF-Cam, PS1 - GPC1","NOT - ALFOSC","1","1","","19.7486","g-ZTF","2024-11-26 05:52:56.000","Fritz","","","2024TNSTR4725....1S","2024TNSCR4764....1C","",""
"167663","SN 2024adac","01:01:38.536","+40:45:54.68","SN Ia","0.078","","","ATLAS, ZTF, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","ZTF","ATLAS, Pan-STARRS, ZTF","ATLAS24qxt","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","19.476","cyan-ATLAS","2024-12-01 08:52:28.128","ATLAS_Bot1","","","2024TNSTR4707....1T","2024TNSCR4788....1F","",""
"167620","SN 2024acyl","02:46:05.326","+28:01:17.91","SN Ibn","0.027","","","ATLAS, GOTO, Pan-STARRS","ATLAS, GOTO, Pan-STARRS","ePESSTO+, None","ATLAS, GOTO, Pan-STARRS","ATLAS24qxm","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, GOTO-N - GOTO-2, PS1 - GPC1","ESO-NTT - EFOSC2-NTT, Other - Other","1","1","","18.307","cyan-ATLAS","2024-12-01 06:55:58.368","ATLAS_Bot1","","","2024TNSTR4707....1T","2024TNSCR4787....1S, 2024TNSCR4837....1D, 2024TNSCR4856....1S","",""
"167619","SN 2024acyk","04:22:54.040","-40:37:47.02","SN IIn","0.128","","","ATLAS, GOTO, Pan-STARRS","ATLAS, GOTO, Pan-STARRS","ePESSTO+","ATLAS, GOTO, Pan-STARRS","ATLAS24qxl","ATLAS-CHL - ATLAS-04, GOTO-S - GOTO-3, GOTO-S - GOTO-4, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.34","cyan-ATLAS","2024-12-01 05:31:41.376","ATLAS_Bot1","","","2024TNSTR4707....1T","2024TNSCR5099....1V","",""
"167611","SN 2024acyc","09:07:08.347","+59:42:12.08","SN Ia","0.048","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS, Pan-STARRS, ZTF","ZTF24abuyefl","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","20.0635","g-ZTF","2024-11-30 09:18:48.997","Fritz","","","2024TNSTR4714....1S","2024TNSCR4788....1F","",""
"167604","SN 2024acxv","22:23:37.953","+14:41:19.17","SN Ia","0.062","","","ZTF, ATLAS, LAST, Fink, GOTO, MASTER","ZTF, ATLAS, LAST, GOTO, MASTER","ZTF","ATLAS, Fink, GOTO, LAST, MASTER, ZTF","ZTF24abunuon","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-1, GOTO-N - GOTO-2, LAST - LAST-Cam, Other - Other, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.8408","g-ZTF","2024-11-29 03:19:39.999","Fritz","","","2024TNSTR4714....1S","2024TNSCR4819....1F","",""
"167594","SN 2024acxl","11:49:30.820","-06:13:35.20","SN Ia","0.08","LCRS B114657.4-055653","","ALeRCE","ZTF","ePESSTO+","ALeRCE","ZTF24abuvjgs","P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.4073","g-ZTF","2024-11-30 12:25:21.996","ALeRCE","","","2024TNSTR4706....1F","2024TNSCR5119....1K","",""
