"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"132176","SN 2023mmb","03:12:19.195","-24:36:51.73","SN Ia","0.04086","","","ATLAS, Pan-STARRS, ZTF","ATLAS, Pan-STARRS, ZTF","DEBASS","ATLAS, Pan-STARRS, ZTF","ATLAS23npn","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS2 - GPC2","ANU-2.3m - WiFeS","1","1","","17.814","orange-ATLAS","2023-07-08 09:35:53.088","ATLAS_Bot1","","","2023TNSTR1595....1T","2023TNSCR1689....1L","",""
"132175","SN 2023mma","04:06:42.390","-27:24:45.43","SN Ia","0.03252","","","ATLAS, GaiaAlerts, Pan-STARRS, ZTF","ATLAS, GaiaAlerts, Pan-STARRS, ZTF","DEBASS","ATLAS, GaiaAlerts, Pan-STARRS, ZTF","ATLAS23npm","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS2 - GPC2","ANU-2.3m - WiFeS","1","1","","18.322","orange-ATLAS","2023-07-08 10:05:26.880","ATLAS_Bot1","","","2023TNSTR1595....1T","2023TNSCR1834....1L","",""
"132173","SN 2023mly","02:03:09.044","+35:00:32.19","SN II","0.045","","","ATLAS, ALeRCE, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","ZTF","ALeRCE, ATLAS, Pan-STARRS","ATLAS23npi","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","18.45","orange-ATLAS","2023-07-08 14:21:52.992","ATLAS_Bot1","","","2023TNSTR1595....1T","2023TNSCR1835....1S","",""
"132164","SN 2023mlq","17:46:19.516","+10:06:21.83","SN II","0.04","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS, Pan-STARRS, ZTF","ZTF23aaqniyk","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.41","g-ZTF","2023-07-02 05:11:02.400","ZTF_Bot1","","","2023TNSTR1600....1F","2023TNSCR2018....1S","",""
"132148","SN 2023mla","15:36:16.972","+17:55:15.84","SN Ia","0.07","SDSS J153617.01+175516.3","","ALeRCE, ATLAS, Fink, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ALeRCE, ATLAS, Fink, Pan-STARRS","ZTF23aaqmfgs","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.8851","r-ZTF","2023-07-07 04:37:56.997","ALeRCE","","","2023TNSTR1583....1M","2023TNSCR1889....1J","",""
"132131","SN 2023mkt","15:18:14.740","-24:05:12.46","SN Ia","0.007078","NGC  5898","0.007262","ALeRCE, Pan-STARRS, ATLAS, Fink, MASTER","ZTF, Pan-STARRS, ATLAS, MASTER","ZTF","ALeRCE, ATLAS, Fink, MASTER, Pan-STARRS","ZTF23aaqmddq","ATLAS-CHL - ATLAS-04, Other - Other, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.1665","r-ZTF","2023-07-07 04:33:48.001","ALeRCE","","","2023TNSTR1582....1M","2023TNSCR1608....1F","",""
"132127","SN 2023mkp","13:39:22.927","+51:02:58.76","SN Ia-91bg-like","0.015293","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","SCAT","ATLAS, Pan-STARRS","ATLAS23nox","ATLAS-HKO - ATLAS-02, PS2 - GPC2","UH88 - SNIFS","1","1","","17.043","orange-ATLAS","2023-07-07 07:13:22.080","ATLAS_Bot1","","","2023TNSTR1584....1T","2023TNSCR1601....1P","",""
"132118","SN 2023mkg","02:01:43.124","-21:46:22.89","SN Ia","0.0446","","","ATLAS, Pan-STARRS, ALeRCE","ATLAS, Pan-STARRS, ZTF","DEBASS","ALeRCE, ATLAS, Pan-STARRS","ATLAS23nor","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS2 - GPC2","ANU-2.3m - WiFeS","1","1","","18.079","orange-ATLAS","2023-07-07 03:27:06.912","ATLAS_Bot1","","","2023TNSTR1584....1T","2023TNSCR1809....1M","",""
"132117","SN 2023mkf","18:59:30.877","+83:43:40.26","SN Ia","0.09","","","Pan-STARRS, ALeRCE, ATLAS, Fink","Pan-STARRS, ZTF, ATLAS","ZTF","ALeRCE, ATLAS, Fink, Pan-STARRS","PS23ffp","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","19.93","i-P1","2023-07-06 13:15:57.600","PS1_Bot1","","","2023TNSTR1589....1C","2023TNSCR1721....1J","",""
"132113","SN 2023mkb","18:00:27.188","+28:00:11.31","SN Ia","0.09","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS23nma","ATLAS-HKO - ATLAS-02","UH88 - SNIFS","1","1","","19.002","orange-ATLAS","2023-07-06 09:53:58.272","ATLAS_Bot1","","","2023TNSTR1575....1T","2023TNSCR1602....1D","",""
