"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"149822","SN 2024gml","14:10:20.695","+21:28:46.58","SN Ia","0.069664","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS, Pan-STARRS, ZTF","ZTF24aajhlhf","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","P200 - DBSP","1","1","","19.6395","g-ZTF","2024-04-13 08:08:28.996","Fritz","","","2024TNSTR1052....1S","2024TNSCR1435....1C","",""
"149817","SN 2024gmg","12:07:12.803","+56:42:58.06","SN Ia","0.0872","","","ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ALeRCE, ATLAS, Pan-STARRS","ZTF24aajgwdv","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","P200 - DBSP","1","1","","20.3822","g-ZTF","2024-04-08 06:42:50.996","ALeRCE","","","2024TNSTR1036....1M","2024TNSCR1340....1R","",""
"149815","SN 2024gme","14:09:42.747","+03:58:15.26","SN Ia","0.076","","","ALeRCE, ATLAS, GOTO, Pan-STARRS, WFST","ZTF, ATLAS, GOTO, Pan-STARRS, WFST","None","ALeRCE, ATLAS, GOTO, Pan-STARRS, WFST","ZTF24aajibzs","ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03, GOTO-N - GOTO-2, GOTO-S - GOTO-4, P48 - ZTF-Cam, PS2 - GPC2, WFST - WFST-WFC","Other - Other","1","1","","20.2146","g-ZTF","2024-04-12 09:29:24.996","ALeRCE","","","2024TNSTR1036....1M","2024TNSCR1252....1T","",""
"149798","SN 2024glo","08:15:59.048","+23:11:59.57","SN Ia","0.014325","","","ZTF","ZTF","None","ZTF","ZTF18aaeopbs","P48 - ZTF-Cam","Other - Other","1","1","","18.4662","g-ZTF","2024-04-07 04:51:10.944","ZTF_CLU_PUBLIC","","","2024TNSTR1044....1D","2024TNSCR1142....1B","",""
"149760","SN 2024gke","14:55:06.082","+46:43:45.32","SN II","0.026","SDSS J145506.53+464350.9","0.02614445","ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","None, ZTF","ALeRCE, ATLAS, Pan-STARRS","ZTF24aajhotx","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","CA-2.2m - CAFOS, P60 - SEDM","1","1","","18.2584","g-ZTF","2024-04-12 08:43:18.002","ALeRCE","","","2024TNSTR1034....1M","2024TNSCR1054....1B, 2024TNSCR1156....1S","",""
"149758","SN 2024gkc","15:05:52.322","+39:31:24.68","SN Ia","0.029","SDSS J150553.29+393119.9","0.02976099","ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ALeRCE, ATLAS, Pan-STARRS","ZTF24aaiwgyo","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.8935","g-ZTF","2024-04-12 09:08:04.004","ALeRCE","","","2024TNSTR1034....1M","2024TNSCR1089....1S","",""
"149733","SN 2024gjd","09:58:46.193","+30:39:17.71","SN Ia","0.088","","","ATLAS, ZTF, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","ZTF","ATLAS, Pan-STARRS, ZTF","ATLAS24fhv","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.512","orange-ATLAS","2024-04-07 06:05:55.968","ATLAS_Bot1","","","2024TNSTR1037....1T","2024TNSCR1410....1F","",""
"149638","SN 2024ggi","11:18:22.087","-32:50:15.27","SN II","0.002435","","","ATLAS, GOTO, BlackGEM, F. D. Romanov, SGLF, YSE, Pan-STARRS, MASTER","ATLAS, GOTO, BlackGEM, SGLF, Pan-STARRS, MASTER","LiONS","ATLAS, BlackGEM, F. D. Romanov, GOTO, MASTER, Pan-STARRS, SGLF, YSE","ATLAS24fsk","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, BG4 - BlackGEM-Cam4, GOTO-S - GOTO-4, LCO1m - Sinistro, Other - Other, PS1 - GPC1","Lijiang-2.4m - YFOSC","1","1","","18.915","orange-ATLAS","2024-04-11 03:22:35.616","ATLAS_Bot1","","","2024TNSTR1020....1T","2024TNSCR1031....1Z","",""
"149605","SN 2024gfc","05:12:04.320","-68:23:21.62","SN II","0.012","","","GaiaAlerts","GaiaAlerts","ePESSTO+","GaiaAlerts","Gaia24bem","Gaia - Gaia-photometric","ESO-NTT - EFOSC2-NTT","1","1","","17.37","G-Gaia","2024-04-04 08:08:09.600","Gaia_Bot1","","","2024TNSTR1006....1H","2024TNSCR1124....1B","",""
"149597","SN 2024gev","14:28:55.775","+51:01:25.96","SN Ia","0.029481","","","ATLAS, ZTF, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","None","ATLAS, Pan-STARRS, ZTF","ATLAS24fop","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","Other - Other","1","1","","19.352","orange-ATLAS","2024-04-09 10:59:17.376","ATLAS_Bot1","","","2024TNSTR1005....1T","2024TNSCR1074....1B","",""
