"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"180053","SN 2025liw","11:11:18.748","+10:20:20.55","SN Ia","0.047","","","ATLAS, GOTO, ZTF","ATLAS, GOTO, ZTF","SCAT","ATLAS, GOTO, ZTF","ATLAS25ffz","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-N - GOTO-2, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","17.789","cyan-ATLAS","2025-05-20 01:51:08.352","ATLAS_Bot1","","","2025TNSTR1890....1T","2025TNSCR1990....1A","",""
"180049","SN 2025lis","22:41:20.090","+16:42:57.52","SN Ia","0.0885","","","ZTF","ZTF","ZTF","ZTF","ZTF25aaqqfsk","P48 - ZTF-Cam","Keck1 - LRIS","1","1","","19.5324","g-ZTF","2025-05-19 10:47:15.002","ZTF_CATS150","","","2025TNSTR1905....1R","2025TNSCR1997....1C","",""
"180033","SN 2025lic","15:26:38.599","+06:06:26.62","SN II","0.04191","SDSS J152638.44+060631.1","0.04191274","ALeRCE, ATLAS, GOTO, LAST","ZTF, ATLAS, GOTO, LAST","ePESSTO+, ZTF","ATLAS, GOTO, LAST, ZTF","ZTF25aaremst","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-1, GOTO-S - GOTO-3, LAST - LAST-Cam, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT, P60 - SEDM","1","1","","19.3878","g-ZTF","2025-05-22 08:02:45.004","ALeRCE","","","2025TNSTR1888....1M","2025TNSCR1963....1C, 2025TNSCR2605....1S","",""
"180022","SN 2025lhr","00:10:22.180","+12:08:21.66","SN II","0.038276","Z 433-30","0.03901","ALeRCE, ATLAS, GOTO","ZTF, ATLAS, GOTO","ZTF","ATLAS, GOTO, ZTF","ZTF25aarhgtc","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-2, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.6551","r-ZTF","2025-05-22 11:28:09.998","ALeRCE","","","2025TNSTR1888....1M","2025TNSCR2367....1S","",""
"180020","SN 2025lhp","00:22:53.620","+46:08:38.64","SN II","0.11","","","ZTF, GOTO, ATLAS, LAST","ZTF, GOTO, ATLAS, LAST","ZTF","ATLAS, GOTO, LAST, ZTF","ZTF25aaqqjud","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-2, LAST - LAST-Cam, P48 - ZTF-Cam","Lick-3m - KAST, P60 - SEDM","1","1","","19.5683","r-ZTF","2025-05-16 11:41:05.999","Fritz","","","2025TNSTR1904....1S","2025TNSCR2515....1W, 2025TNSCR2842....1S","",""
"180016","SN 2025lhl","11:16:37.750","+29:21:47.00","SN Ia","0.056","","","LAST, ZTF, ATLAS, GOTO","LAST, ZTF, ATLAS, GOTO","ZTF","ATLAS, GOTO, LAST, ZTF","","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-2, LAST - LAST-Cam, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.28","Clear-","2025-05-22 17:58:49.152","LAST_Bot1","","","2025TNSTR1895....1O","2025TNSCR2265....1F","",""
"180013","SN 2025lhi","15:17:37.244","+03:12:53.54","SN Ia-91T-like","0.176","SDSS J151736.51+031256.0","","ALeRCE, GOTO, Fink, Pan-STARRS","ZTF, GOTO, Pan-STARRS","ZTF","GOTO, Pan-STARRS, ZTF","ZTF25aaqnvjt","GOTO-N - GOTO-1, GOTO-S - GOTO-3, P48 - ZTF-Cam, PS1 - GPC1","SOAR - Goodman","1","1","","20.2004","g-ZTF","2025-05-19 07:38:06.000","ALeRCE","","","2025TNSTR1889....1J","2025TNSCR1948....1C","",""
"179999","SN 2025lgu","19:22:36.130","+75:35:22.54","SN Ia","0.079","","","ALeRCE, LAST, ATLAS, GOTO, Fink","ZTF, LAST, ATLAS, GOTO","ZTF","ATLAS, GOTO, LAST, ZTF","ZTF25aaqyygm","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-2, LAST - LAST-Cam, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.386","g-ZTF","2025-05-21 08:12:26.001","ALeRCE","","","2025TNSTR1889....1J","2025TNSCR1992....1F","",""
"179979","SN 2025lga","13:08:23.491","+68:08:52.48","SN Ia","0.05","","","ATLAS, GOTO, LAST, ZTF","ATLAS, GOTO, LAST, ZTF","TCD","ATLAS, GOTO, LAST, ZTF","ATLAS25ffg","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-2, LAST - LAST-Cam, P48 - ZTF-Cam","LT - SPRAT","1","1","","18.771","orange-ATLAS","2025-05-22 08:48:08.064","ATLAS_Bot1","","","2025TNSTR1890....1T","2025TNSCR2043....1T","",""
"179975","SN 2025lfw","12:43:14.010","+41:57:34.74","SN Ia","0.035021","","","ATLAS, GOTO, ZTF","ATLAS, GOTO, ZTF","Global SN Project","ATLAS, GOTO, ZTF","ATLAS25ffc","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-2, P48 - ZTF-Cam","FTN - FLOYDS-N","1","1","","18.209","orange-ATLAS","2025-05-22 08:27:17.856","ATLAS_Bot1","","","2025TNSTR1890....1T","2025TNSCR1947....1A","",""
"179966","SN 2025lfn","20:11:40.791","-08:07:46.24","SN Ia","0.109","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ePESSTO+","ATLAS, Pan-STARRS, ZTF","ZTF25aargdqx","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.9718","r-ZTF","2025-05-20 10:27:54.002","Fritz","","","2025TNSTR1904....1S","2025TNSCR2039....1C","",""
"179911","SN 2025ldk","14:22:31.241","+04:51:00.80","SN Ia","0.055412","","","WFST, ZTF, GOTO, Fink, BlackGEM, Pan-STARRS, ATLAS","WFST, ZTF, GOTO, BlackGEM, Pan-STARRS, ATLAS","ZTF","ATLAS, BlackGEM, GOTO, Pan-STARRS, WFST, ZTF","WFST0608gxws","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, BG2 - BlackGEM-Cam2, GOTO-N - GOTO-1, GOTO-S - GOTO-3, P48 - ZTF-Cam, PS2 - GPC2, WFST - WFST-WFC","P60 - SEDM","1","1","","21.81","g-WFST","2025-05-17 17:25:26.400","WFST_SN","","","2025TNSTR1900....1X","2025TNSCR2090....1F","",""
"179814","SN 2025kzr","10:29:36.432","-24:06:33.61","SN IIn","0.012689","","","ATLAS, Pan-STARRS, GOTO","ATLAS, Pan-STARRS, GOTO","BlackGEM, Global SN Project","ATLAS, GOTO, Pan-STARRS","ATLAS25fef","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-S - GOTO-3, GOTO-S - GOTO-4, PS1 - GPC1","FTN - FLOYDS-N, Lesedi - Mookodi","1","1","","17.001","cyan-ATLAS","2025-05-22 01:05:21.696","ATLAS_Bot1","","","2025TNSTR1890....1T","2025TNSCR1926....1D, 2025TNSCR2027....1N","",""
"179804","SN 2025kzh","20:42:23.192","+13:44:12.68","SN II","0.01","","","GOTO, ATLAS, LAST, ZTF, MASTER","GOTO, ATLAS, LAST, ZTF, MASTER","ePESSTO+","ATLAS, GOTO, LAST, MASTER, ZTF","GOTO25cvz","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-2, LAST - LAST-Cam, Other - Other, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","18.16","L-GOTO","2025-05-22 04:32:35.520","GOTO_bot","","","2025TNSTR1894....1O","2025TNSCR1963....1C","",""
"179798","SN 2025kzb","14:05:23.576","+38:22:18.57","SN Ia","0.073","","","GOTO, ATLAS, ZTF","GOTO, ATLAS, ZTF","ZTF","ATLAS, GOTO, ZTF","GOTO25cvf","ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.75","L-GOTO","2025-05-21 21:48:43.776","GOTO_bot","","","2025TNSTR1893....1K","2025TNSCR2212....1F","",""
"179795","SN 2025kyy","22:42:47.935","+51:30:13.92","SN Ia","0.06","WISEA J224246.82+513023.7","0.045655","XOSS, GOTO, ATLAS, Fink, LAST, GEOTS","XOSS, GOTO, ATLAS, ZTF, LAST, GEOTS","TCD","ATLAS, GEOTS, GOTO, LAST, XOSS, ZTF","KATS25K003","ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-2, LAST - LAST-Cam, Other - Other, P48 - ZTF-Cam","LT - SPRAT","1","1","","19.03","Clear-","2025-05-21 20:05:46.176","Mi Zhang","","","2025TNSTR1874....1X","2025TNSCR2028....1T","",""
"179791","SN 2025kyu","14:15:16.953","+30:40:42.78","SN Ia","0.06","","","GOTO, ALeRCE, ATLAS, Pan-STARRS","GOTO, ZTF, ATLAS, Pan-STARRS","TCD","ATLAS, GOTO, Pan-STARRS, ZTF","GOTO25cux","ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS2 - GPC2","LT - SPRAT","1","1","","19.22","L-GOTO","2025-05-21 21:20:13.920","GOTO_bot","","","2025TNSTR1868....1O","2025TNSCR2043....1T","",""
