"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"157470","SN 2024pgg","03:41:52.079","+17:49:30.22","SN Ia","0.04","","","ALeRCE, GOTO, ATLAS, Pan-STARRS","ZTF, GOTO, ATLAS, Pan-STARRS","ZTF","ALeRCE, ATLAS, GOTO, Pan-STARRS","ZTF24aavcfby","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","18.3251","r-ZTF","2024-07-10 11:22:02.004","ALeRCE","","","2024TNSTR2351....1M","2024TNSCR2778....1S","",""
"157469","SN 2024pgf","17:23:50.864","+19:56:47.66","SN Ia","0.088","2MASX J17235085+1956475","","SGLF, GOTO","ZTF, GOTO","ePESSTO+","GOTO, SGLF","ZTF24aauypjo","GOTO-N - GOTO-2, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","20.181","r-ZTF","2024-07-08 07:10:10.000","Ismael Perez-Fournon","","","2024TNSTR2358....1P","2024TNSCR2404....1G","",""
"157468","SN 2024pge","23:41:02.078","+23:51:22.27","SN II","0.097","SDSS J234102.02+235121.6","","SGLF, Pan-STARRS","ZTF, Pan-STARRS","ZTF","Pan-STARRS, SGLF","ZTF24aaugpvz","P48 - ZTF-Cam, PS2 - GPC2","Gemini-N - GMOS","1","1","","19.945","r-ZTF","2024-07-10 08:58:13.000","Ismael Perez-Fournon","","","2024TNSTR2358....1P","2024TNSCR2977....1N","",""
"157463","SN 2024pfz","23:58:31.693","+32:15:22.17","SN Ia-91T-like","0.09","","","Pan-STARRS, ZTF, ATLAS, YSE","Pan-STARRS, ZTF, ATLAS","ZTF","ATLAS, Pan-STARRS, YSE, ZTF","PS24gyi","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","20.54","w-P1","2024-07-05 12:52:37.920","PS1_Bot1","","","2024TNSTR2357....1C","2024TNSCR2693....1J","",""
"157457","SN 2024pft","13:12:34.978","-29:57:55.33","SN Ia","0.074","","","ATLAS, GOTO","ATLAS, GOTO","DEBASS","ATLAS, GOTO","ATLAS24kzc","ATLAS-CHL - ATLAS-04, GOTO-S - GOTO-3, GOTO-S - GOTO-4","ANU-2.3m - WiFeS","1","1","","19.246","orange-ATLAS","2024-07-10 01:09:31.392","ATLAS_Bot1","","","2024TNSTR2352....1T","2024TNSCR2646....1L","",""
"157455","SN 2024pfr","19:50:30.253","+08:20:18.30","SN Ia","0.03","","","ZTF, ATLAS","ZTF, ATLAS","ePESSTO+","ATLAS, ZTF","ZTF24aauuovk","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.726","g-ZTF","2024-07-09 08:29:19.999","Fritz","","","2024TNSTR2362....1S","2024TNSCR2386....1D","",""
"157440","SN 2024pfc","14:05:35.590","-39:12:11.41","SN","0.0136","","","ATLAS, GOTO, GaiaAlerts","ATLAS, GOTO, GaiaAlerts","ePESSTO+","ATLAS, GaiaAlerts, GOTO","ATLAS24kyk","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, Gaia - Gaia-photometric, GOTO-S - GOTO-3","ESO-NTT - EFOSC2-NTT","1","1","","18.119","orange-ATLAS","2024-07-10 01:38:41.856","ATLAS_Bot1","","","2024TNSTR2352....1T","2024TNSCR2386....1D","",""
"157428","SN 2024peq","00:46:53.023","-06:40:39.40","SN II","0.07","","","GOTO, Pan-STARRS","GOTO, Pan-STARRS","ePESSTO+","GOTO, Pan-STARRS","GOTO24dlb","GOTO-N - GOTO-1, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","19.38","L-GOTO","2024-07-01 03:52:15.456","GOTO_bot","","","2024TNSTR2340....1O","2024TNSCR2452....1G","",""
"157424","SN 2024pem","04:44:57.538","-52:19:29.27","SN Ia","0.1","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS24kye","ATLAS-CHL - ATLAS-04","ESO-NTT - EFOSC2-NTT","1","1","","18.472","orange-ATLAS","2024-07-09 09:56:57.984","ATLAS_Bot1","","","2024TNSTR2326....1T","2024TNSCR2386....1D","",""
"157413","SN 2024peb","22:04:23.429","-48:37:39.05","SN Ia","0.0365","","","ATLAS, GOTO","ATLAS, GOTO","ePESSTO+","ATLAS, GOTO","ATLAS24kxh","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-S - GOTO-4","ESO-NTT - EFOSC2-NTT","1","1","","18.307","orange-ATLAS","2024-07-09 05:47:50.784","ATLAS_Bot1","","","2024TNSTR2326....1T","2024TNSCR2386....1D","",""
"157387","SN 2024pdb","22:15:26.603","-45:19:24.18","SN","0.057","","","ATLAS, GOTO","ATLAS, GOTO","ePESSTO+","ATLAS, GOTO","ATLAS24kwa","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, GOTO-S - GOTO-3, GOTO-S - GOTO-4","ESO-NTT - EFOSC2-NTT","1","1","","19.184","orange-ATLAS","2024-07-09 05:47:50.784","ATLAS_Bot1","","","2024TNSTR2326....1T","2024TNSCR2452....1G","",""
"157383","SN 2024pcx","14:50:22.420","-02:27:29.09","SN Ia","0.07","","","ATLAS, ZTF, GOTO, GaiaAlerts","ATLAS, ZTF, GOTO, GaiaAlerts","ePESSTO+","ATLAS, GaiaAlerts, GOTO, ZTF","ATLAS24kvh","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.152","orange-ATLAS","2024-07-09 07:14:00.096","ATLAS_Bot1","","","2024TNSTR2326....1T","2024TNSCR2386....1D","",""
"157382","SN 2024pcw","01:44:35.900","+37:41:51.79","SN II","0.0188599993","","","ATLAS, ZTF, GaiaAlerts, Pan-STARRS","ATLAS, ZTF, GaiaAlerts, Pan-STARRS","ZTF","ATLAS, GaiaAlerts, Pan-STARRS, ZTF","ATLAS24kve","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS2 - GPC2","P200 - DBSP","1","1","","18.724","orange-ATLAS","2024-07-08 12:21:48.960","ATLAS_Bot1","","","2024TNSTR2326....1T","2024TNSCR2540....1C","",""
