"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"137472","SN 2023tzc","00:16:32.773","+23:43:55.75","SN Ia","0.07","","","Pan-STARRS, ALeRCE, ATLAS","Pan-STARRS, ZTF, ATLAS","SCAT","ALeRCE, ATLAS, Pan-STARRS","PS23ixf","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2","UH88 - SNIFS","1","1","","20.17","i-P1","2023-09-27 08:32:40.128","PS1_Bot1","","","2023TNSTR2472....1C","2023TNSCR2538....1H","",""
"137469","SN 2023tyz","23:57:17.344","+26:37:05.80","SN Ia","0.04","","","YSE, ALeRCE, Pan-STARRS, GOTO","Pan-STARRS, ZTF, GOTO","SCAT","ALeRCE, GOTO, Pan-STARRS, YSE","PS23ixc","GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","UH88 - SNIFS","1","1","","19.5","i-P1","2023-10-03 08:01:02.784","YSE_Bot1","","","2023TNSTR2473....1J","2023TNSCR2508....1T","",""
"137466","SN 2023tyw","22:26:04.723","+50:40:04.33","SN Ia","0.04","","","Fink","ZTF","SCAT","Fink","ZTF23abgbwok","P48 - ZTF-Cam","UH88 - SNIFS","1","1","","19.2432","r-ZTF","2023-09-22 06:23:59.001","Fink","","","2023TNSTR2470....1P","2023TNSCR2521....1T","",""
"137455","SN 2023tyl","01:45:21.619","+19:30:41.84","SN Ia","0.069","SDSS J014521.56+193040.2","","ALeRCE, ATLAS, Pan-STARRS, Fink","ZTF, ATLAS, Pan-STARRS","ePESSTO+","ALeRCE, ATLAS, Fink, Pan-STARRS","ZTF23abhublj","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","18.7977","r-ZTF","2023-10-03 07:42:34.004","ALeRCE","","","2023TNSTR2468....1M","2023TNSCR2493....1R","",""
"137454","SN 2023tyk","09:35:11.540","+83:58:24.46","SN Ia","0.055","2MASX J09350992+8358225","","ALeRCE, GaiaAlerts","ZTF, GaiaAlerts","ZTF","ALeRCE, GaiaAlerts","ZTF23abhvlji","Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.2745","g-ZTF","2023-10-03 10:35:34.999","ALeRCE","","","2023TNSTR2468....1M","2023TNSCR2522....1F","",""
"137422","SN 2023txw","18:43:55.100","-52:51:58.56","SN Ia","0.083","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS23tmd","ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","18.946","orange-ATLAS","2023-10-02 18:41:30.912","ATLAS_Bot1","","","2023TNSTR2469....1T","2023TNSCR2493....1R","",""
"137421","SN 2023txv","06:48:37.140","-64:16:51.96","SN Ia","0.012","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","ePESSTO+","ATLAS, GaiaAlerts","ATLAS23tmc","ATLAS-STH - ATLAS-03, Gaia - Gaia-photometric","ESO-NTT - EFOSC2-NTT","1","1","","17.409","orange-ATLAS","2023-10-03 00:15:25.344","ATLAS_Bot1","","","2023TNSTR2469....1T","2023TNSCR2493....1R","",""
"137420","SN 2023txu","18:33:11.520","+66:57:29.74","SN Ia","0.023","","","ATLAS, GaiaAlerts, ZTF","ATLAS, GaiaAlerts, ZTF","None, Padova-Asiago","ATLAS, GaiaAlerts, ZTF","ATLAS23tma","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam","BL41 - FOSC-E5535, Ekar - AFOSC","1","1","","18.957","orange-ATLAS","2023-10-03 06:53:42.720","ATLAS_Bot1","","","2023TNSTR2469....1T","2023TNSCR2616....1B, 2023TNSCR2633....1R","",""
"137412","SN 2023txm","00:59:21.740","-48:02:57.16","SN Ia","0.07","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS23tlz","ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","18.624","orange-ATLAS","2023-10-02 22:20:09.024","ATLAS_Bot1","","","2023TNSTR2469....1T","2023TNSCR2493....1R","",""
"137406","SN 2023txg","17:33:27.182","-55:02:18.47","SN Ia","0.06","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS23tlj","ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","18.803","orange-ATLAS","2023-10-02 17:44:45.888","ATLAS_Bot1","","","2023TNSTR2456....1T","2023TNSCR2493....1R","",""
